Date,Gender,Region,Device Category,Age,Users,Transactions
20220503,male,California,desktop,25-34,49,11
20220506,female,New York,desktop,35-44,49,4
20220510,male,California,desktop,35-44,49,15
20220512,male,California,desktop,35-44,49,11
20220514,male,New York,desktop,35-44,49,0
20220516,male,California,desktop,25-34,49,30
20220519,male,California,desktop,25-34,49,8
20220527,male,California,desktop,25-34,49,23
20220531,male,California,desktop,25-34,49,4
20220601,male,California,desktop,25-34,49,34
20220621,male,California,desktop,18-24,49,30
20220622,male,California,desktop,25-34,49,8
20220627,female,California,desktop,18-24,49,4
20220706,male,California,desktop,25-34,49,45
20220707,male,California,desktop,18-24,49,26
20220719,female,California,desktop,25-34,49,15
20220728,male,California,desktop,18-24,49,45
20220729,male,California,desktop,25-34,49,19
20220802,male,California,desktop,25-34,49,4
20220812,male,California,desktop,18-24,49,57
20220815,male,California,desktop,25-34,49,26
20220816,male,California,desktop,25-34,49,15
20220818,female,California,desktop,18-24,49,11
20220818,male,California,desktop,18-24,49,38
20220831,male,California,desktop,25-34,49,26
20220907,male,California,desktop,25-34,49,26
20220912,female,California,desktop,25-34,49,15
20220912,male,California,desktop,25-34,49,8
20220919,male,California,desktop,25-34,49,30
20220921,male,California,desktop,25-34,49,4
20221006,male,California,desktop,35-44,49,0
20221012,male,California,desktop,18-24,49,42
20221013,male,California,desktop,25-34,49,26
20221019,male,California,desktop,35-44,49,19
20221020,male,California,desktop,25-34,49,4
20221020,male,California,desktop,35-44,49,15
20221101,female,California,desktop,18-24,49,11
20221101,male,California,desktop,45-54,49,38
20221102,female,California,desktop,25-34,49,11
20221104,female,California,desktop,18-24,49,26
20221107,male,California,desktop,25-34,49,11
20221116,male,California,desktop,35-44,49,34
20221207,male,California,mobile,35-44,49,30
20221214,male,California,desktop,18-24,49,0
20221215,male,California,desktop,35-44,49,0
20221219,male,California,desktop,25-34,49,23
20210202,male,California,desktop,25-34,45,38
20210518,male,California,desktop,25-34,45,23
20210524,male,California,desktop,25-34,45,26
20210708,female,California,desktop,35-44,45,45
20210715,male,California,desktop,35-44,45,23
20210716,female,California,desktop,18-24,45,15
20210719,male,New York,desktop,25-34,45,8
20210722,female,California,desktop,18-24,45,11
20210727,male,California,desktop,25-34,45,11
20210830,male,California,desktop,25-34,45,26
20210901,female,California,desktop,18-24,45,19
20210902,male,California,desktop,25-34,45,8
20210907,female,California,desktop,25-34,45,38
20211005,male,California,desktop,25-34,45,23
20211008,male,California,desktop,25-34,45,26
20211013,male,California,desktop,25-34,45,19
20211021,male,California,desktop,25-34,45,4
20211026,male,California,desktop,35-44,45,0
20211028,female,California,desktop,18-24,45,30
20211103,male,California,desktop,35-44,45,26
20211105,male,California,desktop,25-34,45,23
20211111,male,California,desktop,25-34,45,57
20211111,male,California,desktop,35-44,45,45
20211115,male,California,desktop,35-44,45,19
20211117,male,California,desktop,35-44,45,26
20211119,female,California,desktop,25-34,45,11
20211119,male,California,desktop,25-34,45,23
20211122,male,California,desktop,35-44,45,19
20211129,female,California,desktop,18-24,45,19
20211129,female,California,desktop,25-34,45,8
20211130,female,California,desktop,25-34,45,34
